,koi_fpflag_nt,koi_fpflag_ec,koi_time0bk,koi_time0bk_err1,koi_duration,koi_duration_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_insol_err1,koi_insol_err2,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_slogg,koi_slogg_err1,koi_srad
13,0,0,133.98318,0.00143,2.6302,0.0427,-3.0,1.16,0.17,197.96,-130.54,2.0,5833.0,105.0,4.407,0.085,1.022
14,0,0,170.839688,0.000131,3.6399,0.0114,-31.9,150.51,39.76,58.89,-19.99,1.0,5795.0,155.0,4.553999999999999,0.033,0.848
15,0,0,172.484253,0.000842,12.2155,0.0598,-53.3,7.18,0.76,6.66,-4.88,1.0,5043.0,151.0,4.591,0.07200000000000001,0.68
16,0,0,184.5521637,4.5e-05,4.798430000000001,0.00235,-21.9,49.29,16.03,54.55,-16.4,1.0,6117.0,182.0,4.496,0.052000000000000005,0.947
17,0,0,180.881761,0.000623,9.4378,0.06,-39.9,7.94,0.89,12.01,-8.91,1.0,5152.0,168.0,4.5169999999999995,0.08800000000000001,0.786
18,0,0,173.25815500000002,0.000877,3.2875,0.0309,-16.8,2.47,0.2,12.49,-11.7,1.0,4856.0,131.0,4.583,0.065,0.696
19,0,0,171.602959,0.000713,1.5821,0.0311,-34.4,2.85,0.26,16.4,-9.88,1.0,4537.0,123.0,4.648,0.02,0.672
20,0,1,170.73769,0.00234,3.6129,0.0686,-9.5,1.58,0.13,96.64,-86.33,1.0,4989.0,149.0,4.504,0.09,0.819
21,0,0,171.80694,0.00127,3.0278,0.0471,-14.8,2.55,0.16,34.66,-38.48,1.0,5185.0,85.0,4.44,0.098,0.91
22,0,0,136.08661999999998,0.00233,2.5984,0.0737,-13.9,1.7,0.11,51.91,-57.65,2.0,5185.0,85.0,4.44,0.098,0.91
23,0,0,132.8031,0.00716,3.596,0.198,-16.8,1.3,0.09,19.9,-22.09,3.0,5185.0,85.0,4.44,0.098,0.91
24,0,0,166.342079,0.000299,6.8057,0.0184,-45.8,41.5,1.68,0.26,-0.24,1.0,5543.0,79.0,4.081,0.013999999999999999,1.58
25,0,0,171.53593999999998,0.00258,3.4555,0.0656,-27.1,2.95,0.12,2.78,-3.8,1.0,4954.0,79.0,4.5,0.075,0.828
26,0,0,171.74208000000002,0.00219,2.1717,0.0762,-39.7,2.78,0.52,102.06,-42.14,1.0,5339.0,175.0,4.552,0.034,0.847
27,0,0,171.89659,0.00115,2.875,0.042,-14.1,2.3,0.58,182.24,-63.32,1.0,5644.0,152.0,4.564,0.032,0.831
28,0,0,170.998064,0.000246,1.5155,0.0483,-18.3,4.53,1.01,703.1,-292.26,1.0,5714.0,155.0,4.563,0.04,0.831
29,1,0,209.04355,0.00157,53.412,0.131,-33.5,14.14,2.13,0.15,-0.06,1.0,5520.0,100.0,4.466,0.032,0.983
30,0,0,173.83826000000002,0.00209,7.633,0.105,-70.6,39.87,12.79,14.85,-5.51,1.0,6144.0,184.0,4.402,0.07200000000000001,1.091
31,0,0,172.82048,0.00338,5.588,0.113,-23.4,2.82,0.37,6.72,-4.93,1.0,5481.0,82.0,4.369,0.121,1.036
32,0,0,165.00404,0.00171,4.6297,0.0633,-45.5,3.86,0.15,1.27,-1.9,2.0,5031.0,75.0,4.485,0.083,0.848
33,0,0,171.30126,0.00117,2.5819,0.0426,-24.5,2.65,0.1,15.73,-23.44,3.0,5031.0,75.0,4.485,0.083,0.848
34,0,0,176.3608,0.00243,3.2554,0.0791,-39.4,3.1,0.34,11.77,-8.24,1.0,5015.0,164.0,4.499,0.092,0.826
35,0,0,194.1019,0.00138,4.7971,0.058,-25.4,3.36,0.76,10.51,-4.18,1.0,5586.0,152.0,4.56,0.05,0.798
36,0,0,193.8378,0.00643,6.473,0.204,-36.2,2.12,0.48,2.64,-1.06,2.0,5586.0,152.0,4.56,0.05,0.798
38,0,0,170.69579,0.00164,3.3827,0.0892,-20.9,6.54,1.64,411.33,-166.35,1.0,5550.0,182.0,4.468,0.091,0.91
39,0,0,171.34905,0.003,3.7362,0.0934,-17.5,2.1,0.65,365.71,-117.4,1.0,6075.0,189.0,4.486000000000001,0.052000000000000005,0.969
40,0,0,179.401981,0.000249,5.2514,0.0179,-27.7,12.42,3.92,62.46,-23.51,1.0,6074.0,168.0,4.391,0.09,1.063
41,0,0,133.143089,0.000468,2.9472,0.024,-4.0,2.94,0.43,137.29,-102.18,1.0,5779.0,104.0,4.3389999999999995,0.132,1.087
42,0,0,208.93203,0.00142,10.5989,0.088,-22.6,5.5,1.57,14.66,-6.64,1.0,5468.0,180.0,4.367,0.153,1.046
43,0,0,171.63257,0.00133,2.2514,0.0518,-28.2,2.52,0.54,59.06,-24.15,1.0,5592.0,152.0,4.582,0.036000000000000004,0.787
44,0,0,169.752585,0.000613,3.1744,0.0362,-13.3,4.43,1.44,542.47,-188.14,1.0,6174.0,173.0,4.417,0.055999999999999994,1.103
45,0,0,170.96768459999998,4.66e-05,2.5058700000000003,0.006659999999999999,-11.0,12.21,1.62,184.34,-97.95,1.0,5532.0,74.0,4.452,0.063,0.955
46,0,0,186.67608,0.00137,14.561,0.104,-44.3,7.34,0.9,3.25,-2.06,1.0,5040.0,136.0,4.628,0.03,0.705
47,0,0,170.36571,0.00191,2.6557,0.0677,-13.8,1.89,0.54,342.24,-123.32,1.0,5880.0,157.0,4.518,0.046,0.917
48,0,0,171.015,0.00111,3.15,0.0423,-15.2,3.25,0.47,135.26,-68.33,1.0,5714.0,77.0,4.428,0.063,1.015
49,0,0,133.84992,0.00183,2.6255,0.073,-29.7,3.95,0.57,38.38,-19.39,2.0,5714.0,77.0,4.428,0.063,1.015
50,0,0,176.05459,0.00176,3.573,0.0643,-36.3,3.07,0.41,6.07,-3.21,1.0,5129.0,154.0,4.595,0.03,0.763
51,0,0,136.279194,0.000957,3.3539,0.0489,-6.3,2.64,0.4,38.12,-22.92,1.0,5854.0,105.0,4.406000000000001,0.09,1.012
52,0,0,139.00492,0.00159,3.0014,0.0384,-4.4,1.79,0.26,94.86,-70.6,2.0,5779.0,104.0,4.3389999999999995,0.132,1.087
53,0,0,169.97177969999998,7.32e-05,2.3078,0.0129,-37.8,15.03,4.73,195.52,-61.76,1.0,6108.0,183.0,4.468999999999999,0.07,0.956
54,0,0,172.72782,0.00248,3.0249,0.0798,-42.0,2.0,0.09,1.49,-1.35,2.0,4126.0,82.0,4.6610000000000005,0.022000000000000002,0.615
55,0,0,176.3759,0.00147,2.0805,0.0517,-37.7,2.16,0.09,3.97,-3.59,1.0,4126.0,82.0,4.6610000000000005,0.022000000000000002,0.615
56,0,0,151.60125,0.00392,4.007,0.126,-53.4,1.99,0.09,0.51,-0.47,3.0,4126.0,82.0,4.6610000000000005,0.022000000000000002,0.615
57,0,0,171.79325500000002,0.000195,2.683,0.035,-18.5,6.02,1.22,162.58,-65.21,1.0,5497.0,166.0,4.577,0.034,0.809
59,0,0,170.679233,0.0009,1.1196,0.0384,-25.6,1.99,0.1,21.47,-20.32,1.0,4149.0,82.0,4.698,0.024,0.564
60,0,0,177.197466,0.00019,6.5036,0.0145,-22.4,11.23,2.92,90.01,-45.01,1.0,5746.0,173.0,4.393,0.18,0.924
61,0,0,171.76198200000002,0.000659,1.9982,0.0271,-13.7,2.34,0.17,69.46,-40.17,1.0,5005.0,79.0,4.595,0.012,0.765
64,0,0,180.395376,0.000923,2.5237,0.052,-46.3,2.65,0.21,1.49,-1.63,1.0,3688.0,73.0,4.79,0.05,0.473
65,0,0,173.634044,0.000455,4.3084,0.0306,-14.9,5.31,1.5,209.1,-91.63,1.0,5992.0,162.0,4.415,0.105,0.989
66,0,0,169.994217,0.000507,7.5377,0.0681,-11.5,4.86,1.05,75.31,-28.97,1.0,5485.0,164.0,4.556,0.027999999999999997,0.867
67,0,0,186.77093,0.00182,2.7594,0.0551,-35.3,1.93,0.1,1.13,-1.06,1.0,4077.0,81.0,4.702,0.027000000000000003,0.56
68,0,0,136.28906,0.00119,1.369,0.0393,-39.2,1.91,0.1,2.69,-2.5,2.0,4077.0,81.0,4.702,0.027000000000000003,0.56
69,0,0,178.74725,0.00245,3.8896,0.0834,-29.1,2.66,0.54,31.16,-12.97,1.0,5557.0,166.0,4.603,0.034,0.75
70,0,0,151.93538,0.00192,6.802,0.119,-7.7,2.87,0.43,7.98,-4.8,2.0,5854.0,105.0,4.406000000000001,0.09,1.012
71,0,0,171.63943,0.00247,3.813,0.12,-21.3,21.55,3.54,145.91,-70.67,1.0,5295.0,175.0,4.551,0.049,0.811
73,0,0,170.03417,0.00111,3.0099,0.0423,-14.5,3.12,1.02,931.74,-309.76,1.0,6214.0,174.0,4.442,0.054000000000000006,1.076
74,0,0,172.81781999999998,0.00163,4.0491,0.058,-19.5,3.32,1.09,252.7,-84.01,2.0,6214.0,174.0,4.442,0.054000000000000006,1.076
75,0,1,171.50236999999998,0.0076,2.505,0.315,-51.9,1.88,0.71,67.75,-14.34,1.227795935768083,5799.0,161.0,4.539,0.027000000000000003,0.878
76,0,0,174.16212,0.00149,2.7245,0.0484,-26.7,2.59,0.37,35.44,-19.3,1.0,5354.0,159.0,4.587,0.032,0.788
77,0,0,181.16367,0.00625,5.039,0.184,-49.6,2.36,0.34,2.58,-1.4,2.0,5354.0,159.0,4.587,0.032,0.788
78,0,0,180.89228400000002,0.000413,5.1497,0.0592,-27.6,7.4,2.2,66.33,-21.39,1.0,5795.0,156.0,4.508,0.039,0.919
79,0,0,170.403536,0.000397,1.8868,0.0232,-20.4,46.58,8.01,1411.94,-1136.62,1.0,6017.0,72.0,4.22,0.156,1.339
80,0,0,173.31543,0.00224,3.836,0.121,-26.4,28.59,8.61,125.69,-46.77,1.0,5927.0,176.0,4.409,0.084,1.06
81,0,0,169.67494,0.0016,2.4282,0.0559,-11.4,2.06,0.29,290.34,-212.44,1.0,5519.0,82.0,4.35,0.126,1.062
82,0,0,170.57662,0.00108,2.0844,0.0454,-29.7,2.77,0.46,53.88,-21.24,1.0,5653.0,166.0,4.656000000000001,0.027999999999999997,0.679
83,0,1,169.865406,0.000169,2.0792,0.0115,-45.9,27.51,3.46,1149.42,-599.58,1.0,5255.0,156.0,4.678,0.027999999999999997,0.636
85,0,0,147.46554,0.00241,3.3203,0.0754,-45.1,1.96,0.13,0.89,-0.9,2.0,3950.0,70.0,4.754,0.042,0.493
86,0,0,165.23729,0.0043,4.758,0.13,-56.4,1.83,0.12,0.29,-0.3,3.0,3950.0,70.0,4.754,0.042,0.493
87,0,0,147.537,0.00647,5.351,0.177,-6.5,1.31,0.2,17.84,-10.73,4.0,5854.0,105.0,4.406000000000001,0.09,1.012
88,0,0,136.54995,0.00436,2.186,0.12,-36.4,1.2,0.08,3.1,-3.19,4.0,3950.0,70.0,4.754,0.042,0.493
89,0,0,170.52755200000001,0.000157,2.3111,0.0302,-29.5,7.34,1.53,155.31,-64.19,1.0,5557.0,167.0,4.592,0.034,0.774
90,0,0,175.45862,0.00354,5.228,0.122,-35.1,2.32,0.38,10.29,-4.56,1.0,5395.0,160.0,4.615,0.032,0.734
91,0,0,170.8266564,7.61e-05,2.38963,0.0033799999999999998,-11.8,9.73,1.41,576.36,-452.24,1.0,5539.0,83.0,4.322,0.13699999999999998,1.106
93,1,0,171.7982,0.0105,6.222,0.731,-28.2,17.47,4.12,81.18,-31.91,2.0,5657.0,152.0,4.567,0.038,0.824
95,0,0,174.581054,0.000306,7.7915,0.0272,-31.8,13.28,3.64,98.49,-48.58,1.0,5627.0,169.0,4.359,0.18,1.024
96,0,0,154.23552,0.0013,8.9302,0.0961,-82.4,8.9,0.82,0.59,-0.35,2.0,5485.0,98.0,4.556,0.013999999999999999,0.867
97,0,0,135.63916,0.00661,3.262,0.186,-4.3,0.79,0.13,109.03,-65.57,3.0,5854.0,105.0,4.406000000000001,0.09,1.012
98,0,0,243.892578,0.000423,6.6188,0.0327,-64.0,12.19,1.11,1.89,-1.09,1.0,5485.0,98.0,4.556,0.013999999999999999,0.867
99,0,0,150.69922,0.00718,4.803,0.2,-43.5,1.91,0.2,5.61,-2.68,1.227795935768083,5485.0,99.0,4.556,0.013999999999999999,0.867
100,0,1,170.50478999999999,0.0015,2.1541,0.0846,-25.7,25.69,7.44,965.56,-306.98,1.0,5663.0,171.0,4.53,0.036000000000000004,0.915
101,0,1,171.9834,0.00309,5.414,0.113,-14.1,1.7,0.1,43.55,-45.45,1.0,4667.0,140.0,4.578,0.048,0.731
102,0,0,170.6483505,5.79e-05,1.9604,0.0106,-20.3,11.3,3.09,1067.75,-412.98,1.0,5934.0,160.0,4.4910000000000005,0.065,0.893
104,0,0,181.43428,0.00122,4.0595,0.0481,-31.0,3.41,0.28,5.47,-4.61,1.0,4905.0,148.0,4.544,0.07200000000000001,0.761
105,0,0,171.979062,0.00075,1.9104,0.0318,-26.6,2.03,0.13,9.67,-9.92,1.0,3950.0,70.0,4.754,0.042,0.493
106,0,0,171.002455,0.000835,2.0067,0.0427,-24.7,30.26,9.57,699.82,-230.11,1.0,5926.0,184.0,4.506,0.054000000000000006,0.939
107,0,0,174.771,0.00224,4.4056,0.0687,-20.9,3.12,0.47,22.99,-12.26,1.0,5775.0,78.0,4.405,0.066,1.053
108,0,0,138.60548,0.00175,4.1654,0.0585,-2.9,1.7,0.08,84.12,-66.83,3.0,5847.0,64.0,4.191,0.02,1.402
109,0,0,138.78608,0.0036,4.793,0.181,-16.2,2.76,0.43,54.6,-29.09,3.0,5775.0,78.0,4.405,0.066,1.053
110,0,0,163.85063,0.00407,5.794,0.199,-26.8,4.02,0.62,8.73,-4.66,2.0,5775.0,78.0,4.405,0.066,1.053
111,0,0,170.04799509999998,3.33e-05,2.59959,0.00079,-13.1,11.58,0.9,50.79,-29.54,1.0,5150.0,82.0,4.572,0.02,0.793
113,0,0,174.997206,0.000765,3.5957,0.043,-25.7,5.52,1.7,186.49,-63.82,1.0,5973.0,169.0,4.439,0.052000000000000005,1.085
114,0,0,186.22182,0.00305,3.827,0.113,-46.1,1.8,0.1,0.58,-0.64,1.0,3747.0,75.0,4.728,0.042,0.524
115,0,0,176.33968000000002,0.00107,2.2736,0.0447,-32.0,2.1,0.14,2.46,-2.31,1.0,3692.0,73.0,4.753,0.032,0.517
116,0,0,196.934947,7.16e-05,4.34617,0.00645,-83.3,27.5,5.28,8.85,-3.91,1.0,5575.0,166.0,4.521,0.038,0.932
117,0,0,173.64638,0.00261,35.512,0.274,-11.7,30.09,5.79,257.38,-124.0,1.0,6463.0,205.0,4.5,0.087,0.826
118,0,1,171.66504,0.000902,5.0642,0.0445,-5.3,13.65,3.11,180.49,-62.76,1.0,5514.0,149.0,4.569,0.028999999999999998,0.826
119,0,0,138.77799,0.00118,6.0995,0.044,-4.2,2.89,0.13,19.38,-15.39,1.0,5847.0,64.0,4.191,0.02,1.402
120,0,0,174.01085,0.00261,4.3791,0.091,-35.8,3.38,0.91,31.88,-13.85,1.0,5601.0,166.0,4.41,0.11599999999999999,0.999
121,0,0,172.181092,0.000202,3.3148,0.0209,-49.8,10.34,2.59,77.2,-26.78,1.0,5690.0,154.0,4.588,0.04,0.776
123,0,0,173.61401999999998,0.000608,3.3169,0.0645,-114.0,11.01,0.44,4.61,-5.99,1.0,4986.0,79.0,4.496,0.075,0.833
124,0,0,176.9486,0.00205,3.161,0.0635,-24.5,2.11,0.18,16.3,-14.35,1.0,4861.0,131.0,4.574,0.054000000000000006,0.732
125,0,0,134.96178,0.00324,2.506,0.103,-22.0,1.46,0.12,33.58,-29.57,2.0,4861.0,131.0,4.574,0.054000000000000006,0.732
126,0,0,171.13575,0.001,2.9721,0.0408,-13.1,2.44,0.6,121.73,-40.81,1.0,5776.0,155.0,4.553999999999999,0.042,0.849
127,0,0,174.77602,0.00137,3.065,0.185,-23.5,3.86,1.32,295.54,-90.93,1.0,6108.0,193.0,4.471,0.054000000000000006,0.997
128,0,1,170.66951,0.00104,4.7211,0.0546,-12.7,26.25,6.9,461.45,-162.49,1.0,5764.0,154.0,4.548,0.035,0.863
129,0,0,169.94901059999998,8.86e-05,1.8411,0.0168,-25.8,8.99,0.8,86.59,-76.86,1.0,5035.0,151.0,4.519,0.084,0.791
130,0,0,174.00278,0.00103,3.897,0.0771,-39.0,5.0,0.49,9.96,-4.63,2.0,5251.0,105.0,4.581,0.01,0.817
131,0,0,137.80219,0.00767,4.377,0.229,-3.7,1.06,0.05,44.14,-35.07,4.0,5847.0,64.0,4.191,0.02,1.402
132,0,0,153.43031000000002,0.00103,5.176,0.102,-48.4,6.5,0.64,3.84,-1.79,1.0,5251.0,105.0,4.581,0.01,0.817
133,0,0,173.393734,0.000266,3.831,0.0271,-62.1,12.28,3.56,298.42,-97.69,1.0,5810.0,157.0,4.526,0.05,0.898
134,0,0,171.8214689,4.5e-05,3.49949,0.00533,-32.8,17.61,4.05,66.72,-27.73,1.0,5670.0,169.0,4.523,0.066,0.821
135,0,0,173.276125,0.000454,2.1862,0.0267,-25.2,31.44,8.94,333.12,-106.59,1.0,6046.0,182.0,4.539,0.048,0.869
136,0,0,171.37610700000002,0.000603,8.2183,0.021,-13.2,7.89,1.38,33.37,-26.59,1.0,5739.0,114.0,4.191,0.162,1.384
137,0,0,140.32196000000002,0.00275,6.7372,0.0875,-10.8,3.06,0.54,72.35,-57.65,2.0,5739.0,114.0,4.191,0.162,1.384
138,0,0,134.81656,0.00345,4.9843,0.0994,-8.6,2.32,0.4,200.73,-159.95,3.0,5739.0,114.0,4.191,0.162,1.384
139,0,0,134.17462,0.00398,3.388,0.106,-6.4,1.62,0.28,847.46,-675.28,5.0,5739.0,114.0,4.191,0.162,1.384
140,0,0,133.49863,0.00181,3.5797,0.0558,-2.7,1.53,0.07,149.88,-119.09,2.0,5847.0,64.0,4.191,0.02,1.402
141,0,0,178.5014,0.0103,7.159,0.247,-20.1,2.67,0.47,12.16,-9.68,4.0,5739.0,114.0,4.191,0.162,1.384
142,0,0,180.93613,0.0013,2.9076,0.05,-23.9,2.35,0.17,8.24,-4.84,1.0,4959.0,99.0,4.603,0.011000000000000001,0.756
143,0,0,132.29259,0.00471,3.57,0.134,-44.9,2.37,0.17,1.02,-0.6,2.0,4959.0,99.0,4.603,0.011000000000000001,0.756
144,0,1,171.58362,0.00163,3.0918,0.0817,-29.9,17.06,1.32,71.26,-67.02,1.0,4794.0,130.0,4.58,0.063,0.701
145,0,0,174.66224,0.00182,2.6312,0.0595,-25.3,2.25,0.07,7.15,-10.12,1.0,4768.0,76.0,4.5360000000000005,0.055999999999999994,0.779
146,0,0,135.92831,0.00313,2.3421,0.0984,-19.8,1.48,0.05,17.05,-24.15,2.0,4768.0,76.0,4.5360000000000005,0.055999999999999994,0.779
147,0,0,173.011469,0.000207,2.2757,0.0122,-27.2,38.33,12.8,358.71,-118.09,1.0,6072.0,168.0,4.47,0.055999999999999994,0.988
148,0,0,176.52246200000002,0.000136,2.5211,0.0257,-26.4,8.24,1.48,34.56,-16.93,1.0,5386.0,159.0,4.553,0.055999999999999994,0.793
149,0,0,169.973972,0.000733,2.7055,0.0321,-44.5,5.39,1.6,239.18,-77.52,1.0,5815.0,157.0,4.54,0.038,0.877
150,0,0,171.90364,0.00209,3.5176,0.0901,-16.4,2.66,0.73,300.78,-104.51,1.0,5653.0,154.0,4.4719999999999995,0.062,0.949
151,0,0,169.69138,0.00143,2.9667,0.0529,-21.2,3.01,0.24,22.24,-20.23,1.0,5015.0,149.0,4.499,0.09,0.826
152,0,0,143.41658999999999,0.00409,4.016,0.305,-26.7,3.01,0.24,10.42,-9.47,2.0,5015.0,149.0,4.499,0.09,0.826
154,0,0,175.35526000000002,0.00152,3.0957,0.0562,-24.5,2.31,0.17,6.56,-6.6,1.0,4702.0,128.0,4.592,0.057999999999999996,0.686
155,0,0,198.58423,0.00172,4.3246,0.0634,-32.1,2.64,0.19,1.64,-1.64,2.0,4702.0,128.0,4.592,0.057999999999999996,0.686
156,0,0,171.44122,0.000306,2.8589,0.0224,-14.1,6.21,2.05,549.04,-194.78,1.0,6073.0,190.0,4.3919999999999995,0.07200000000000001,1.135
157,0,0,171.98798200000002,0.000638,3.0694,0.0265,-20.1,4.35,0.64,163.27,-72.1,1.0,5727.0,77.0,4.463,0.04,0.978
158,0,0,177.29506,0.00181,6.271,0.112,-18.1,3.75,1.11,57.11,-21.98,1.0,5878.0,158.0,4.444,0.084,0.987
159,0,0,186.713552,0.000134,4.21587,0.00935,-47.3,13.84,3.63,17.69,-5.87,1.0,5862.0,177.0,4.584,0.044000000000000004,0.785
160,0,0,203.895,0.00131,11.195,0.13,-25.9,7.59,1.24,4.3,-3.87,1.0,5510.0,82.0,4.2219999999999995,0.195,1.238
161,0,0,172.002627,0.000586,2.9381,0.0327,-44.4,26.82,2.48,67.72,-54.73,1.0,4968.0,151.0,4.575,0.07200000000000001,0.704
162,0,0,138.68167,0.00197,5.9409,0.0669,-4.9,2.29,0.12,10.13,-7.34,1.0,5718.0,85.0,4.181,0.018000000000000002,1.317
163,0,0,170.93729,0.0016,3.1775,0.0602,-17.4,2.47,0.59,62.02,-27.32,1.0,5501.0,164.0,4.462,0.084,0.918
164,0,0,180.28319,0.00145,3.984,0.0875,-26.7,3.68,0.54,16.76,-9.37,1.0,5239.0,174.0,4.523,0.06,0.826
166,0,0,174.95037,0.00124,2.7297,0.0424,-22.7,2.56,0.17,17.21,-12.63,1.0,5103.0,101.0,4.562,0.032,0.787
167,0,0,201.2869,0.00222,4.7865,0.0756,-35.5,3.03,0.2,2.1,-1.55,2.0,5103.0,101.0,4.562,0.032,0.787
168,0,0,137.26594,0.00242,2.2641,0.0721,-38.3,2.32,0.15,5.57,-4.08,4.0,5103.0,101.0,4.562,0.032,0.787
169,0,0,201.16578,0.00329,4.685,0.132,-66.7,1.94,0.12,0.15,-0.19,1.0,3593.0,71.0,4.757,0.054000000000000006,0.491
170,0,0,195.78745,0.000123,5.0264,0.0136,-31.4,11.38,2.07,5.69,-2.57,1.0,5522.0,165.0,4.586,0.048,0.747
172,0,0,174.87931,0.0011,2.5242,0.0418,-17.4,2.47,0.37,60.12,-28.62,1.0,5237.0,157.0,4.572,0.027999999999999997,0.826
173,0,0,141.911924,0.000569,11.3364,0.051,-5.4,8.2,0.5,9.4,-8.38,1.0,5626.0,89.0,3.907,0.04,2.057
174,0,0,146.91109,0.00396,1.611,0.195,-60.7,2.28,0.35,11.3,-5.39,2.0,5237.0,157.0,4.572,0.027999999999999997,0.826
175,0,0,173.98731899999999,0.000346,2.594,0.0194,-38.1,19.02,4.92,52.16,-20.86,1.0,5697.0,154.0,4.46,0.098,0.903
176,0,1,175.4046,0.00185,2.743,0.505,-64.2,2.66,0.2,13.93,-12.92,1.0,4947.0,148.0,4.516,0.077,0.802
177,0,0,170.81914,0.00173,1.8119,0.0554,-11.8,1.41,0.13,109.22,-54.78,1.0,5265.0,73.0,4.58,0.013999999999999999,0.81
178,0,0,173.8228336,4.48e-05,3.11058,0.00627,-26.1,14.62,2.92,96.85,-46.15,1.0,5532.0,167.0,4.53,0.07,0.806
179,0,0,172.14795900000001,0.000988,2.1814,0.0324,-14.3,2.62,0.78,466.28,-150.76,1.0,5895.0,164.0,4.503,0.05,0.94
180,0,0,173.576483,0.000848,2.7251,0.0314,-15.0,3.11,0.39,91.4,-49.59,1.0,5527.0,74.0,4.484,0.04,0.927
181,0,0,188.08821,0.0031,4.556,0.0986,-23.5,2.69,0.33,11.79,-6.39,2.0,5527.0,74.0,4.484,0.04,0.927
182,0,0,186.57718,0.00239,1.6585,0.0777,-31.7,2.67,0.33,30.75,-16.68,3.0,5527.0,74.0,4.484,0.04,0.927
184,0,0,312.68498,0.00147,15.284,0.209,-8.5,7.78,0.48,1.55,-1.38,2.0,5626.0,89.0,3.907,0.04,2.057
185,0,0,171.648106,0.00088,1.8832,0.0878,-28.6,4.37,1.38,768.91,-244.21,1.0,6126.0,193.0,4.458,0.052000000000000005,1.021
186,0,0,194.12073999999998,0.00108,3.9783,0.0417,-22.2,3.91,0.43,7.96,-4.92,2.0,5427.0,108.0,4.463,0.064,0.929
187,0,0,174.055011,0.00088,6.3994,0.0438,-23.9,5.51,0.62,3.27,-2.02,1.0,5427.0,108.0,4.463,0.064,0.929
188,0,0,136.78393,0.00101,2.9003,0.0317,-12.8,2.43,0.27,58.69,-36.35,3.0,5427.0,108.0,4.463,0.064,0.929
189,0,0,135.080841,0.000981,1.8876,0.0297,-10.4,1.86,0.21,196.96,-121.98,4.0,5427.0,108.0,4.463,0.064,0.929
190,0,0,207.67593,0.00148,4.1072,0.0538,-32.1,3.07,0.21,4.16,-2.76,1.0,5067.0,102.0,4.585,0.024,0.75
191,0,0,133.00406,0.00134,2.0642,0.0392,-17.6,1.69,0.11,53.16,-39.02,3.0,5103.0,101.0,4.562,0.032,0.787
192,0,0,172.18401200000002,0.00094,2.3254,0.0296,-17.2,1.73,0.09,5.15,-4.93,1.0,4072.0,73.0,4.696000000000001,0.023,0.57
193,0,0,175.68418,0.0012,2.8606,0.0413,-18.5,1.65,0.09,2.96,-2.83,2.0,4072.0,73.0,4.696000000000001,0.023,0.57
194,0,0,179.423014,0.000206,2.4845,0.0165,-198.0,22.94,4.93,40.22,-16.72,1.0,5875.0,140.0,4.572,0.036000000000000004,0.809
196,0,0,186.680343,0.000412,4.4056,0.0578,-33.2,8.46,0.4,2.79,-2.41,1.0,5149.0,113.0,4.447,0.054000000000000006,0.93
